DocID,PageNum,MedConfidence,AvgConfidence,RangeConfidence,IQRConfidence,MedLineLen,ContainsFigWord,ContainsFigLn,FigPos,FigPage,TagMethod
10189,1.0,98.22829055786131,89.06617147272283,63.21872329711914,12.733606338500975,11.0,0.0,0.0,-1.0,,
10189,2.0,99.85005950927734,97.97390407986113,15.414791107177734,0.7574005126953125,21.0,0.0,0.0,-1.0,,
10189,3.0,95.63704681396484,95.63704681396484,8.614639282226562,4.307319641113281,8.0,0.0,0.0,-1.0,,
10189,4.0,91.44406318664551,89.54934286844164,31.898148127964557,8.066068649291992,38.0,0.0,0.0,-1.0,,
10189,5.0,96.12524120624248,90.96487848982851,68.09881489093489,4.259419074425324,71.0,0.0,0.0,-1.0,,
10189,6.0,96.85016935521908,92.00524913383249,71.10719680786133,2.294444613023245,110.0,0.0,0.0,-1.0,,
10189,7.0,97.24135716756183,90.06487985641233,70.08736864725749,6.473289489746094,27.0,0.0,0.0,-1.0,,
10189,8.0,95.38204956054688,90.56635431397012,32.12224133809407,10.539634023393916,50.0,0.0,0.0,-1.0,,
10189,9.0,97.40264797210692,89.36253722479259,65.60213088989258,4.762592701684851,24.0,0.0,0.0,-1.0,,
10189,10.0,98.06801193479508,84.34068225477108,82.02470397949219,9.98923759460449,64.0,0.0,0.0,-1.0,,
10189,11.0,94.56894574846541,87.75316100145773,46.638093130929136,13.325559797741107,41.0,0.0,0.0,-1.0,,
10189,12.0,95.6723175048828,94.8696323741566,11.213180541992188,6.463783264160156,4.0,0.0,0.0,-1.0,,
10189,13.0,95.71860846495017,93.611850820036,12.221789042154953,2.7792013853024145,38.5,0.0,0.0,-1.0,,
10189,14.0,95.52322387695312,91.0147707469103,35.60564422607422,7.5058144789475705,25.0,0.0,0.0,-1.0,,
10189,15.0,88.71557140350342,85.32571175893149,56.25445556640625,6.674760818481445,13.0,0.0,0.0,-1.0,,
10189,16.0,95.97759628295898,91.57844361014988,26.71659406026204,18.354531288146973,52.0,0.0,0.0,-1.0,,
10189,17.0,99.88161087036131,99.88161087036131,0.14794158935546875,0.07397079467773438,10.0,0.0,0.0,-1.0,,
10189,18.0,99.35511016845705,98.40843338739306,14.091304779052734,1.0825080871582031,68.0,0.0,0.0,-1.0,,
10189,19.0,98.57734298706056,94.16330995746685,36.90304946899414,7.303109169006348,62.0,0.0,0.0,-1.0,,
10189,20.0,99.28578186035156,98.83605912152458,4.184013366699219,1.0065240859985352,57.5,0.0,0.0,-1.0,,
10189,21.0,99.6113052368164,98.91666750226702,4.4278411865234375,1.5790214538574219,66.0,0.0,0.0,-1.0,,
10189,22.0,98.48870086669922,97.0545153762355,17.549537658691403,3.572154998779297,58.0,0.0,0.0,-1.0,,
10189,23.0,98.6328067779541,97.9725603376116,6.5591888427734375,3.40274429321289,64.5,0.0,0.0,-1.0,,
10189,24.0,96.03705444335938,94.42712564468384,16.941486358642578,7.907389195760089,33.0,0.0,0.0,-1.0,,
10189,25.0,99.38828659057616,98.73009061813354,7.2930755615234375,0.8445186614990234,67.0,0.0,0.0,-1.0,,
10189,26.0,99.3709716796875,97.23207647150213,9.9921875,4.202541351318359,63.0,0.0,0.0,-1.0,,
10189,27.0,98.93305587768556,98.93305587768556,1.8281478881835933,0.9140739440917968,13.5,0.0,0.0,-1.0,,
10189,28.0,99.70099830627441,98.7168988828306,8.148345947265625,0.8974199295043945,28.0,0.0,0.0,-1.0,,
10189,29.0,99.54287338256836,99.32662506103516,2.8279800415039062,0.8670282363891602,74.0,0.0,0.0,-1.0,,
10189,30.0,99.7769775390625,99.02487027203595,7.773395538330077,1.0455970764160156,76.0,0.0,0.0,-1.0,,
10189,31.0,99.40848541259766,98.09481337974812,13.997828165690107,1.4136810302734375,74.0,0.0,0.0,-1.0,,
10189,32.0,99.44696044921876,99.05975372314451,3.8252182006835938,1.04119873046875,74.0,0.0,0.0,-1.0,,
10189,33.0,99.72123336791992,99.25327818734306,2.82574462890625,1.0273399353027344,73.5,0.0,0.0,-1.0,,
10189,34.0,99.7137565612793,99.253541799692,2.406219482421875,1.254751205444336,75.0,0.0,0.0,-1.0,,
10189,35.0,99.47958374023438,99.0115904374556,2.9356231689453125,0.6880111694335938,72.0,0.0,0.0,-1.0,,
10189,36.0,99.03345108032228,99.03345108032228,0.04604339599609375,0.023021697998046875,14.5,0.0,0.0,-1.0,,
10189,37.0,91.7165470123291,90.0365738588221,23.28400039672852,9.605606079101562,1.0,0.0,0.0,-1.0,,
10189,38.0,81.8555679321289,79.85419896443685,64.36017227172853,21.74273681640625,2.0,0.0,0.0,-1.0,,
10189,39.0,75.087158203125,76.62972582303561,55.51173400878906,20.74501037597656,5.0,0.0,0.0,-1.0,,
10189,40.0,88.17316818237305,83.6430372873942,42.30271911621094,9.719961166381836,1.0,0.0,0.0,-1.0,,
10189,41.0,88.85028839111328,85.56423119937672,38.02815246582031,15.4559326171875,4.0,0.0,0.0,-1.0,,
10189,42.0,89.05856323242188,84.16272951013902,59.05279159545898,17.045646667480472,3.0,0.0,0.0,-1.0,,
10189,43.0,88.70357513427734,83.75207041572122,74.80679512023927,15.878623962402346,1.0,0.0,0.0,-1.0,,
10189,44.0,84.7834332784017,82.76017571940567,44.15968449910483,13.76299238204956,6.5,0.0,0.0,-1.0,,
10189,45.0,80.02383422851562,77.56895968119305,54.503639221191406,21.662964820861816,4.0,0.0,0.0,-1.0,,
10189,46.0,94.34224700927734,86.26689140469419,85.26263046264648,10.224500020345047,3.0,0.0,0.0,-1.0,,
