//Flight 0
//Date 2008/04/28
Random  Base1
  2.986944           51482.00 
  2.987083           51483.00 
  2.987222           51482.80 
  2.987361           51482.80 
  2.987500           51481.80 
  2.987639           51482.00 
  2.987778           51483.10 
  2.987917           51483.00 
  2.988056           51481.90 
  2.988194           51480.70 
  2.988333           51481.60 
  2.988472           51482.10 
  2.988611           51481.50 
  2.988750           51482.00 
  2.988889           51483.10 
  2.989028           51482.40 
  2.989167           51482.80 
  2.989306           51481.70 
  2.989444           51482.70 
  2.989583           51482.40 
  2.989722           51482.60 
  2.989861           51481.40 
  2.990000           51481.10 
  2.990139           51438.00 
  2.990278           51213.30 
  2.990417           51266.50 
  2.990556           50985.80 
  2.990694           51450.10 
  2.990833           50752.50 
  2.990972           50743.20 
  2.991111           53288.00 
  2.991250           48277.30 
  2.991389           50045.20 
  2.991528           53648.10 
  2.991667           48442.30 
  2.991806           49374.80 
  2.991944           50765.40 
  2.992083           51518.30 
  2.992222           50757.90 
  2.992361           49866.50 
  2.992500           53218.60 
  2.992639           48267.50 
  2.992778           48852.20 
  2.992917           51024.40 
  2.993056           51446.90 
  2.993194           50752.40 
  2.993333           51474.40 
  2.993472           51487.20 
  2.993611           51479.60 
  2.993750           51480.40 
  2.993889           51483.10 
  2.994028           51015.50 
  2.994167           51500.50 
  2.994306           51472.10 
  2.994444           51492.20 
  2.994583           51479.80 
  2.994722           51482.40 
  2.994861           51484.20 
  2.995000           51484.00 
  2.995139           51484.10 
  2.995278           51484.10 
  2.995417           51482.90 
  2.995556           51483.30 
  2.995694           51483.30 
  2.995833           51483.90 
  2.995972           51481.90 
  2.996111           51483.30 
  2.996250           51482.80 
  2.996389           51481.70 
  2.996528           51482.70 
  2.996667           51482.40 
  2.996806           51481.90 
  2.996944           51482.20 
  2.997083           51483.10 
  2.997222           51483.30 
  2.997361           51482.60 
  2.997500           51482.80 
  2.997639           51482.60 
  2.997778           51483.70 
  2.997917           51483.40 
  2.998056           51482.80 
  2.998194           51482.30 
  2.998333           51482.70 
