SAMPLEID,HOLEID,PROJECTCODE,SAMPFROM,SAMPTO,SAMPLETYPE,SampleDate,SampleLoggedBy,Ag_00MXB_ppm,Al_00MXB_ppm,As_00MXB_ppm,Au_00Q0I_ppm,Bi_00MXB_ppm,Ca_00MXB_ppm,Co_00MXB_ppm,Cu_00MXB_ppm,Fe_00MXB_pct,K_00MXB_ppm,Mg_00MXB_ppm,Mn_00MXB_ppm,Na_00MXB_ppm,P_00MXB_ppm,Pb_00MXB_ppm,Rb_00MXB_ppm,Sb_00MXB_ppm,Sr_00MXB_ppm,Ti_00MXB_ppm,U_00MXB_ppm,Zn_00MXB_ppm
"GJ23150","ESD8003","UNDERCOVER",400,404,"FILLET","24-Jul-2008","HATTO9",1,57300,5,0.01,10,5930,15,13,5.07,17700,12400,260,23300,1100,8,120,5,45,2150,10,15
"GJ23151","ESD8003","UNDERCOVER",404,408,"FILLET","24-Jul-2008","HATTO9",1,53400,5,0.01,10,9000,18,12,5.09,13300,15200,410,23000,1620,8,103,5,31,1530,10,15
"GJ23152","ESD8003","UNDERCOVER",408,412,"FILLET","24-Jul-2008","HATTO9",1,33700,5,0.01,10,15800,12,23,4.39,10000,14900,340,14000,2000,7,46,5,28,730,10,10
"GJ23153","ESD8003","UNDERCOVER",412,416,"FILLET","24-Jul-2008","HATTO9",1,78100,5,0.01,10,12200,19,22,5.8,24000,18800,470,34700,1750,10,160,5,56,2850,10,19
"GJ23154","ESD8003","UNDERCOVER",416,420,"FILLET","24-Jul-2008","HATTO9",1,65100,5,0.01,10,6450,17,59,4.42,18100,11800,320,30400,520,16,121,5,62,3400,10,20
"GJ23155","ESD8003","UNDERCOVER",420,424,"FILLET","24-Jul-2008","HATTO9",1,57000,5,0.01,10,7590,24,63,4.89,9900,11200,300,31100,500,12,48,5,70,2910,10,14
"GJ23156","ESD8003","UNDERCOVER",424,428,,"24-Jul-2008","HATTO9",1,58700,5,0.01,10,6590,33,131,6.03,10400,11100,290,20500,640,16,49,5,55,3980,10,15
"GJ23159","ESD8003","UNDERCOVER",428,432,"FILLET","24-Jul-2008","HATTO9",1,41900,5,0.01,10,10700,17,60,5.95,7300,10400,350,22200,980,11,29,5,63,2530,10,13
"GJ23160","ESD8003","UNDERCOVER",432,436,"FILLET","24-Jul-2008","HATTO9",1,59100,5,0.01,10,9050,15,89,6.68,7500,13000,320,36300,610,19,42,5,62,2100,10,20
"GJ23161","ESD8003","UNDERCOVER",436,440,"FILLET","24-Jul-2008","HATTO9",1,63900,5,0.01,10,17500,14,44,5.96,8800,15200,400,35700,770,22,45,5,87,2680,10,19
