HOLEID,PROJECTCODE,GEOLFROM,GEOLTO,Midas_VT1A1,Midas_VT1A2,Midas_VT1INT,Midas_VT1M1,Midas_VT1M2,Midas_VT1QUAL,Midas_VT1T1,Midas_VT1TYPE
"ESD8003","UNDERCOVER",284.1,305.9,"60",,"10","MA",,,,"VN"
"ESD8003","UNDERCOVER",306,311.6,"40",,"2","PY",,"MX","<S","<S"
"ESD8003","UNDERCOVER",310.2,310.7,,,"99",,,,,"QV"
"ESD8003","UNDERCOVER",367.9,368.3,,,"99",,,"PG","PG","VN"
"ESD8003","UNDERCOVER",443.5,443.55,"99",,"80","QF",,,,"VN"
"ESD8003","UNDERCOVER",468.45,468.45,"99",,"99","PY",,,,"VN"
"ESD8003","UNDERCOVER",479,479.2,"80","20","80","QF","PY",,,"VN"
"ESD8003","UNDERCOVER",497.5,497.8,"99",,,,,,,"VN"
