DocID,PageNum,LineNum,NormedLineNum,Text,Words2Width,WordsWidth,Width,Height,Left,Top,ContainsNum,ContainsTab,ContainsPage,Centrality,Marginal
22701,14,15,1,6,1,0.011223152,0.011223152,0.011228388,0.487157464,0.899798512,1,0,0,0.984915666,2
67792,4,27,1,1,1,0.010310019,0.010310019,0.012297784,0.517602026,0.900610209,1,0,0,0.952525752,2
22701,13,23,1,5,1,0.010397751,0.010397751,0.011833061,0.484572351,0.901411772,1,0,0,0.97866174,2
22701,12,26,1,4,1,0.011253085,0.011253085,0.011272528,0.481722355,0.902097106,1,0,0,0.973608369,2
22701,10,27,1,3,1,0.010693284,0.010693284,0.011228088,0.486486316,0.902740717,1,0,0,0.982962846,2
22701,6,24,1,1,1,0.008593096,0.008593096,0.010953675,0.488765329,0.903495073,1,0,0,0.985526572,2
22701,7,24,1,2,1,0.011437047,0.011437047,0.01135494,0.485962659,0.904131532,1,0,0,0.982646219,2
68861,5,61,1,2,1,0.010154675,0.010154675,0.010040388,0.832938194,0.906426311,1,0,0,0.294845379,2
56628,6,45,1,6,1,0.010900288,0.010900288,0.015246262,0.911698103,0.912255108,1,0,0,0.129761696,2
56628,7,43,1,7,1,0.010929231,0.010929231,0.012128249,0.911851764,0.913854837,1,0,0,0.129410945,2
56628,4,16,1,4,1,0.011148367,0.011148367,0.011306328,0.911526561,0.91461885,1,0,0,0.129860794,2
56628,5,28,1,5,1,0.010712654,0.010712654,0.010708503,0.911613524,0.914851964,1,0,0,0.130133858,2
56628,3,14,1,3,1,0.010624645,0.010624645,0.010813732,0.911883652,0.914923608,1,0,0,0.129662127,2
56628,2,11,1,2,1,0.010446069,0.010446069,0.010584067,0.912058115,0.915155411,1,0,0,0.129484439,2
36198,12,8,1,Page 1 of 1,1,0.04779961,0.04779961,0.014914433,0.475600064,0.917729557,1,0,1,0.998957266,2
57418,59,45,1,"Mineral Exploration, BHP Billiton 	September 2008",0.523829246,0.39336428,0.750939898,0.014643566,0.12028987,0.920324206,1,1,0,0.991154916,2
57418,100,49,1,"Mineral Exploration, BHP Billiton 	September 2008",0.523915844,0.393563852,0.751196697,0.014536668,0.120088935,0.920352727,1,1,0,0.991003596,2
57418,49,48,1,"Mineral Exploration, BHP Billiton 	September 2008",0.523564667,0.393261492,0.751123056,0.014379382,0.120140418,0.920608789,1,1,0,0.991034184,2
57418,54,47,1,"Mineral Exploration, BHP Billiton 	September 2008",0.523361561,0.393064603,0.75103835,0.013988395,0.120324768,0.920926869,1,1,0,0.991330413,2
57418,84,26,1,"Mineral Exploration, BHP Billiton 	September 2008",0.523993152,0.393413082,0.750798136,0.013960557,0.120501056,0.921047777,1,1,0,0.991447616,2
57418,75,23,1,"Mineral Exploration, BHP Billiton 	September 2008",0.524058714,0.393489942,0.750850871,0.013914763,0.120527744,0.921082288,1,1,0,0.991558298,2
57418,53,61,1,"Mineral Exploration, BHP Billiton 	September 2008",0.523920206,0.393552959,0.751169652,0.013380688,0.120193064,0.921235561,1,1,0,0.991192615,2
57418,52,59,1,"Mineral Exploration, BHP Billiton 	September 2008",0.523934282,0.393527791,0.751101434,0.013441931,0.120253101,0.921325088,1,1,0,0.991246705,2
57418,101,28,1,"Mineral Exploration, BHP Billiton 	September 2008",0.523873169,0.393348709,0.750847213,0.013455711,0.120484643,0.921484441,1,1,0,0.991464566,2
57418,68,19,1,"Mineral Exploration, BHP Billiton 	September 2008",0.524046199,0.393510461,0.750907958,0.013394329,0.120563805,0.921523988,1,1,0,0.991693073,2
