/--------------------------    S C I N T R E X    -----------------------------
/!  Revision:	4.3F
/!  Line____:	0.00000 +
/!  Date____:	08/04/28
/!  Job_____:	0      
/!  Operator:	
/!  Serial__:	0      
/!  Basefld_:	51500
/!  Duration:	0.5
/!  Cyc_Time:	0.5
/!  Station_:	0.00000 +
/!  Mag_Data:	Hours/TotFld/Time
/------------------------------------------------------------------------------
 2.971528  51482.6  02:58:17
 2.971667  51448.9  02:58:18
 2.971806  51481.8  02:58:18
 2.971944  51482.1  02:58:19
 2.972083  48532.4  02:58:19
 2.972222  53596.2  02:58:20
 2.972361  49862.9  02:58:20
 2.972500  50156.0  02:58:21
 2.972639  51728.0  02:58:21
 2.972778  48855.3  02:58:22
 2.972917  49034.8  02:58:22
 2.973056  53280.2  02:58:23
 2.973194  48347.5  02:58:23
 2.973333  53209.3  02:58:24
 2.973472  48445.7  02:58:24
 2.973611  52279.6  02:58:25
 2.973750  48999.5  02:58:25
 2.973889  50068.7  02:58:26
 2.974028  51216.6  02:58:26
 2.974167  50734.5  02:58:27
 2.974306  51473.7  02:58:27
 2.974444  51490.7  02:58:28
 2.974583  51243.7  02:58:28
 2.974722  51480.6  02:58:29
 2.974861  51482.9  02:58:29
 2.975000  50819.2  02:58:30
 2.975139  51240.3  02:58:30
 2.975278  51477.1  02:58:31
 2.975417  50991.9  02:58:31
 2.975556  51506.4  02:58:32
 2.975694  50580.2  02:58:32
 2.975833  50558.8  02:58:33
 2.975972  50057.2  02:58:33
 2.976111  51263.1  02:58:34
 2.976250  54270.4  02:58:34
 2.976389  49373.7  02:58:35
 2.976528  48455.6  02:58:35
 2.976667  49161.8  02:58:36
 2.976806  50771.7  02:58:36
 2.976944  51473.4  02:58:37
 2.977083  47270.2  02:58:37
 2.977222  49015.7  02:58:38
 2.977361  51282.6  02:58:38
 2.977500  51228.0  02:58:39
 2.977639  51027.8  02:58:39
 2.977778  51515.4  02:58:40
 2.977917  50925.1  02:58:40
 2.978056  51475.0  02:58:41
 2.978194  51467.4  02:58:41
 2.978333  51477.9  02:58:42
 2.978472  51482.1  02:58:42
 2.978611  51482.8  02:58:43
 2.978750  51482.2  02:58:43
 2.978889  51480.4  02:58:44
 2.979028  51481.8  02:58:44
 2.979167  51482.7  02:58:45
 2.979306  51482.5  02:58:45
 2.979444  51481.5  02:58:46
 2.979583  51483.1  02:58:46
 2.979722  51482.8  02:58:47
 2.979861  51483.2  02:58:47
 2.980000  51481.0  02:58:48
 2.980139  51482.7  02:58:48
 2.980278  51482.1  02:58:49
 2.980417  51476.6  02:58:49
 2.980556  51257.4  02:58:50
 2.980694  51469.7  02:58:50
 2.980833  51241.8  02:58:51
 2.980972  51492.5  02:58:51
 2.981111  51476.6  02:58:52
 2.981250  51480.9  02:58:52
 2.981389  51483.4  02:58:53
 2.981528  51482.2  02:58:53
 2.981667  51480.6  02:58:54
 2.981806  51481.4  02:58:54
 2.981944  51481.9  02:58:55
 2.982083  51482.8  02:58:55
 2.982222  51482.1  02:58:56
 2.982361  51482.7  02:58:56
 2.982500  51482.5  02:58:57
 2.982639  51482.6  02:58:57
 2.982778  51483.7  02:58:58
 2.982917  51482.1  02:58:58
 2.983056  51483.8  02:58:59
 2.983194  51482.3  02:58:59
 2.983333  51481.8  02:59:00
 2.983472  51481.3  02:59:00
 2.983611  51481.8  02:59:01
 2.983750  51482.3  02:59:01
 2.983889  51481.8  02:59:02
 2.984028  51483.5  02:59:02
 2.984167  51483.0  02:59:03
 2.984306  51482.9  02:59:03
